cust_id,lookalikes
C0001,"[('C0197', 0.817), ('C0026', 0.737), ('C0100', 0.699)]"
C0002,"[('C0133', 0.884), ('C0173', 0.766), ('C0109', 0.66)]"
C0003,"[('C0164', 0.723), ('C0085', 0.658), ('C0181', 0.648)]"
C0004,"[('C0118', 0.74), ('C0008', 0.719), ('C0075', 0.709)]"
C0005,"[('C0128', 0.76), ('C0096', 0.746), ('C0014', 0.743)]"
C0006,"[('C0187', 0.756), ('C0191', 0.675), ('C0139', 0.63)]"
C0007,"[('C0181', 0.742), ('C0031', 0.686), ('C0118', 0.659)]"
C0008,"[('C0057', 0.852), ('C0143', 0.777), ('C0075', 0.725)]"
C0009,"[('C0093', 0.7), ('C0156', 0.699), ('C0062', 0.699)]"
C0010,"[('C0058', 0.763), ('C0092', 0.715), ('C0040', 0.69)]"
C0011,"[('C0084', 0.677), ('C0094', 0.644), ('C0091', 0.64)]"
C0012,"[('C0136', 0.814), ('C0076', 0.74), ('C0148', 0.692)]"
C0013,"[('C0040', 0.764), ('C0102', 0.723), ('C0153', 0.701)]"
C0014,"[('C0128', 0.959), ('C0005', 0.743), ('C0012', 0.657)]"
C0015,"[('C0060', 0.697), ('C0073', 0.66), ('C0103', 0.591)]"
C0016,"[('C0184', 0.821), ('C0192', 0.687), ('C0048', 0.683)]"
C0017,"[('C0164', 0.677), ('C0158', 0.628), ('C0104', 0.62)]"
C0018,"[('C0038', 0.755), ('C0161', 0.752), ('C0114', 0.752)]"
C0019,"[('C0070', 0.768), ('C0171', 0.75), ('C0191', 0.747)]"
C0020,"[('C0050', 0.779), ('C0045', 0.712), ('C0001', 0.67)]"
